cellname,C_1346,C_694,C_709,C_722,C_736,C_737,C_740,C_755,C_760,C_761,C_769,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20,C_21,C_22,C_23,C_25,C_26,C_27,C_28,C_29,C_30,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_70,C_71,C_72,C_73,C_74,C_75,C_76,C_77,C_78,C_79,C_80,C_82,C_83,C_84,C_86,C_87,C_88,C_89,C_90,C_91,C_92,C_93,C_94,C_95,C_96,C_97,C_98,C_99,C_100,C_101,C_102,C_103,C_104,C_105,C_106,C_108,C_109,C_110,C_111,C_112,C_113,C_114,C_115,C_116,C_117,C_118,C_119,C_120,C_121,C_122,C_123,C_124,C_125,C_126,C_127,C_128,C_129,C_130,C_131,C_132,C_133,C_134,C_135,C_136,C_137,C_138,C_139,C_140,C_141,C_142,C_143,C_144,C_145,C_146,C_147,C_148,C_149,C_150,C_151,C_152,C_154,C_155,C_156,C_157,C_158,C_159,C_160,C_161,C_162,C_163,C_164,C_165,C_166,C_167,C_168,C_169,C_170,C_171,C_172,C_173,C_174,C_175,C_176,C_177,C_178,C_179,C_180,C_181,C_182,C_183,C_184,C_185,C_186,C_187,C_188,C_189,C_190,C_191,C_192,C_193,C_194,C_195,C_196,C_197,C_198,C_199,C_200,C_201,C_202,C_203,C_204,C_205,C_206,C_208,C_209,C_210,C_211,C_212,C_213,C_214,C_215,C_216,C_217,C_218,C_219,C_220,C_221,C_222,C_223,C_224,C_225,C_226,C_227,C_228,C_229,C_24,C_31,C_57,C_1323,C_46,C_321,C_684,C_685,C_686,C_688,C_690,C_691,C_695,C_696,C_698,C_700,C_702,C_703,C_705,C_706,C_708,C_713,C_714,C_715,C_716,C_717,C_718,C_719,C_721,C_723,C_724,C_725,C_726,C_730,C_731,C_732,C_733,C_734,C_738,C_741,C_207,C_1342
g1,79.73625927,77.64924006,79.68298564,77.99788765,78.49789526,78.49301592,79.47294006,80.18612533,80.73709644,78.58945171,78.73733184,81.31067772,81.58220098,76.69571051,81.02334913,80.15023364,79.5706028,81.70856644,80.7770796,80.49440141,80.64465776,80.81282966,80.97227625,80.65142917,80.90819424,80.038903,80.36048436,79.72748214,81.18750887,80.32693459,80.57656727,81.1884963,80.84003571,79.66646628,78.6478554,81.05481931,80.54543855,76.86200724,80.71020411,80.35628941,80.51237152,81.0353874,80.30858832,80.03517654,80.63395363,79.7296521,79.20196536,80.4180065,79.43137783,79.82227898,80.13162036,80.36225464,80.87515097,79.93977071,79.99257403,81.22778529,80.6862902,80.6869601,81.07043676,78.61574428,80.02791484,81.6086706,81.38790712,80.34715761,80.72731075,80.72266397,81.25428286,81.32527827,79.59430364,80.10802243,80.85857263,80.03942538,80.67459979,79.53324909,80.52892697,80.95964453,81.23456995,81.32480926,80.51428119,80.5183804,80.34822056,78.38995907,80.0991302,80.45876675,80.266727,81.20758933,80.20828768,81.15847197,80.17613946,80.35951454,80.01086079,78.55416136,80.54880978,80.60735418,80.62553653,80.40649861,81.08750804,80.37783947,80.319711,80.73548583,80.71313274,81.17932284,79.06513485,80.46608563,79.72020475,80.39939324,78.42352326,80.21918873,81.23281474,80.03792529,79.27239063,80.0947395,80.58291822,81.48522782,79.24816171,79.77321924,80.25910353,80.3136841,79.80487888,79.43525637,79.21748644,80.40539104,80.83642401,79.29238797,80.14018345,80.69426066,81.01185713,80.01995816,79.62765889,80.32755136,81.39622475,80.90623388,80.32601179,80.8683863,80.97972686,78.87209514,80.35536393,80.35615204,79.23265882,80.55057471,80.09039907,80.80816149,80.53876349,79.81997319,79.69732443,80.18189166,78.74446296,75.26798178,81.07914975,79.96310201,79.19895724,80.61956184,80.13991537,80.55740734,80.79271822,81.27608167,80.22803785,79.94320001,80.45896725,80.77017308,80.34662307,81.65226038,80.08664125,79.79654249,77.83782545,80.52326076,79.63757894,78.5528552,80.44020611,80.40987712,80.43914718,80.48937009,80.38499911,81.05952901,81.13534976,80.8046452,80.5150658,78.03109757,80.38067259,79.5689495,79.66633157,81.53666102,79.7570219,78.88030751,80.28763603,79.75664005,79.70178024,80.9859212,80.80814305,79.98726436,80.34841696,81.08126029,80.99069128,81.5454259,79.1294231,80.22710604,80.02504475,79.1774633,80.7503109,80.17951121,79.98536239,80.39730956,81.26906713,81.85302902,80.93976342,79.08721111,79.5193707,81.13301232,79.86265418,79.66966792,79.45992581,78.7377808,80.82894991,80.5948862,79.53857273,79.77823972,78.96796596,80.66212617,80.19056179,80.18388806,79.730357,80.61903609,80.12157265,80.44521808,80.68890921,76.88420938,80.9153836,79.78543013,79.91227416,79.90386405,80.04550572,79.85417444,80.84220779,80.4597751,81.00503831,83.66288356,76.54729927,76.77901379,76.60672959,77.99520601,77.34774542,79.45761856,77.51862946,77.07295002,78.77799726,78.4997761,77.79627051,79.08884979,77.96341293,79.49254074,77.86887347,78.70291915,77.45049579,78.36281925,80.49426087,78.96571333,78.02142793,78.4794561,78.26738607,78.91168504,78.94362597,79.95568255,79.17549936,79.5202208,79.3463916,78.93451685,80.86801072,80.69243292,80.63566643,81.37407964,78.97565664,80.21415555
g2,80.25474886,78.29348559,82.15011302,78.01346288,74.26500908,77.20815741,88.41524374,80.86209891,80.29126958,75.58886441,72.65966857,79.90651221,79.84892372,80.21467299,79.55029075,80.3901203,80.20450565,80.22545864,80.3330757,79.96717384,80.36300289,79.51335656,80.517572,79.36766269,79.81327824,80.34799428,80.67706818,80.23719051,79.60237071,79.57784131,80.13510512,79.96822074,80.25485638,80.54344457,80.23117543,80.1064173,79.87361076,79.01734929,79.61227428,80.24851153,80.14378698,80.39834272,79.6104534,79.73809619,79.44341448,79.85277187,79.54113585,80.60572814,80.21306772,80.63561765,80.05177943,80.1568287,79.83462361,80.00977356,80.24751048,79.57401067,80.53943382,79.78608211,79.76065379,80.31026905,80.51632395,79.68389608,80.20329732,79.65203135,80.0708981,80.28872274,80.05483874,80.3067934,79.68432829,79.49100953,79.86647078,79.0577867,80.08881799,80.03422745,79.91060758,79.89451059,79.55891761,80.16329718,79.74810711,79.82819602,79.30706838,79.42094514,79.6862705,80.72665181,79.85938211,79.91461271,80.60017119,80.17258719,79.99370954,80.660754,80.32896523,80.12282843,80.62558679,80.27161125,81.03570918,79.76239748,80.06615567,80.24294213,79.5750507,79.76412692,80.05286018,79.49905692,80.20626733,79.7122815,80.35400885,79.35727661,80.30888325,79.47367126,80.53000221,80.40862352,80.08955025,81.08485421,80.11872965,80.15102291,80.71380193,80.56095348,80.60188243,79.82131754,79.86733618,80.12353695,79.71147766,80.80320908,80.0100715,79.73580354,79.87630214,79.08932356,80.8687639,79.11990364,80.22590038,79.7251261,80.08328775,80.49386538,79.26508054,80.37891816,79.20306736,80.00478539,79.70315546,80.35681601,79.66152834,80.07811981,79.39777325,79.9707123,79.2635186,79.83498622,80.33706676,79.04193586,80.02005625,79.92954088,80.6874571,79.06543016,80.09921853,79.67463617,81.00689894,80.12141986,79.13409849,80.55990292,80.79493726,79.97151434,81.02312729,80.51752429,79.61764298,79.51106506,79.56028131,79.79755363,79.56287848,79.64821783,79.51139371,79.98896123,80.47239178,80.85957314,80.09613305,80.22618032,80.50978585,80.43786826,80.37521958,79.90986235,80.47628942,79.16026437,80.24914545,80.85219495,78.69595247,80.12855734,80.83379034,80.74691364,79.22978418,79.94969992,80.41809753,79.66049307,80.28343817,79.60948866,79.59495602,80.29388738,79.99711383,79.55689468,80.69660272,79.88305098,80.46633852,79.42709947,79.68718432,79.61079641,80.55186202,80.50400938,80.20977045,79.96308875,80.31897747,79.35095461,79.83499485,80.62428247,80.75493677,80.01608613,79.34116831,79.14075298,80.02753118,79.80239804,79.56665605,80.34196826,79.65934819,79.74285434,80.44537451,79.50135513,79.65009501,80.33306344,79.61335451,79.85488825,79.64439523,80.04180122,80.44436153,80.03687127,79.23079254,80.60553481,77.90519848,80.58460402,79.94863229,80.07921654,79.52974643,79.63952366,80.28134955,81.63367039,81.28117589,80.88427096,81.17907191,79.34614827,80.85501092,81.15706843,79.44429843,80.84424398,80.59520226,81.921064,81.42186099,79.16787569,80.78395261,80.99589301,80.61789607,80.60574048,79.32235592,80.78277692,80.30752714,81.02067111,79.70350619,81.32417027,79.68877356,78.9768538,79.26448276,77.87983897,80.70055403,81.03293396,79.24202827,79.13490739,81.39937013,78.99820435,80.31550096,80.22893688
g3,79.77699299,80.24606774,79.89009927,79.842879,78.63769158,79.62608696,81.03487674,80.91862839,79.81337457,79.29968604,78.48776221,80.64805309,80.85219327,80.53610229,80.369161,79.09786868,79.71901164,80.4209423,78.79247676,79.97752909,81.00068475,79.79233046,79.94338301,79.63716548,79.74702098,79.80712632,80.68232914,80.70942607,80.16952965,81.30043888,79.68962235,79.73838754,80.05885891,78.50031312,80.3365359,79.15707691,80.08658033,79.51908237,81.28768357,81.335762,79.43969438,79.33642771,80.16732288,80.43362365,80.90091988,81.37695639,79.08853647,80.62673966,80.04753524,80.06571216,80.30920377,79.7767105,79.03102335,80.6642702,80.30433149,80.8183658,79.86340724,80.55517236,79.30050671,79.27116793,80.99518086,81.01510001,79.1454264,79.83295198,80.38789102,80.00806922,79.58110273,80.30566535,79.26817791,80.1374037,80.03727311,80.92029349,80.35075926,79.7409905,80.58844425,79.30072495,80.38124819,79.54162969,80.13267747,80.17111934,79.30611761,80.80945176,80.06879782,79.31343451,80.53093693,78.71002596,80.68655851,79.54735343,80.49100244,79.8533706,79.90976058,79.84543768,78.9344015,79.66395305,80.78513228,79.92463598,79.68646485,80.59191181,79.91440544,79.96826067,79.22457945,79.25582337,80.82163077,80.82249854,79.68372425,81.52310158,79.97397703,79.55815086,80.22061854,80.78692274,79.34568094,79.24319592,79.78719276,80.20501966,80.03404777,80.25052806,79.67481624,79.78162963,80.28377904,79.32343975,80.26639862,79.37121261,81.48285197,80.2513772,81.42840761,80.32360797,78.87014461,80.41243343,80.27895599,79.01341755,81.116492,79.67098217,80.46984701,80.62796877,80.05819089,79.03971335,80.38996714,79.79346797,80.47987896,79.76931911,79.2094397,79.51757851,80.50190557,81.11797455,79.23904555,79.85554965,79.47951298,79.64176228,79.00966034,80.62453192,81.62529469,79.97651158,79.57614044,80.47907763,80.53872571,79.72959755,79.77291422,79.75775874,78.69932847,78.43750224,79.48498764,79.20572561,80.07130934,79.71675899,79.51859885,80.71476655,79.54562425,78.87148696,80.2589215,80.59099656,79.78824923,78.0857685,79.4833222,77.88848098,79.55195803,79.33191985,80.59011601,79.80540798,80.76985109,79.83082979,79.80529551,79.55622158,79.84647783,78.9923549,80.69197369,78.99350116,79.97699842,79.61586778,81.31074039,79.10483773,80.66298672,79.01457919,78.76577509,80.42822931,79.4146166,81.51249554,80.14383981,81.7166282,80.03874804,79.41226456,80.67607363,79.65027832,80.21930335,80.88128597,79.07476259,79.48416027,80.05370149,80.12811172,79.97381659,79.18816087,79.71219586,79.31316907,78.84058822,78.59370176,80.14936649,80.70159824,79.59689755,80.12997688,80.71342868,80.31525083,79.76312357,80.42718557,80.92725436,79.2120754,79.55178484,79.53959544,79.81423445,80.97911275,80.61363518,78.77377539,91.53776056,75.87391075,78.97590045,80.10530939,80.63050007,79.33777129,79.79150281,80.28052125,80.47898312,80.73117105,79.7825667,79.75299722,80.22369913,80.10656563,81.3475366,79.4479553,80.28918668,80.96205179,79.1147918,80.42377561,79.978141,79.70013721,79.91491481,80.14368573,79.29282257,80.35880215,79.57310858,80.71024267,80.31643366,79.64518397,79.79804173,79.56351527,79.83521417,78.71477844,80.09923846,81.33630798,79.95091359,80.59581988,80.32745453,79.50776489,79.66876225,80.71434581
g4,82.06585464,79.72292827,80.48873297,78.5595784,78.85160972,80.6799891,79.95644007,79.21598138,81.07254731,81.51480363,80.39509468,80.08199371,79.1467209,78.24885449,79.18075919,78.95690313,79.22615859,78.42725718,79.20269341,79.10864327,79.92668515,79.79523544,80.07639893,80.44629283,79.01041032,79.09123383,79.41863277,79.97287665,79.16064292,80.2293508,82.3586869,79.17711131,79.64599533,81.47577717,79.84621674,79.86666859,80.04036275,78.69851506,79.60960076,79.19996405,78.80267765,80.30736196,79.26211929,79.06129505,79.2484027,81.31315055,77.67025915,81.29139665,81.16316266,79.74137846,79.22964453,80.73604501,81.03858129,79.79062621,80.81235446,78.54825586,79.97806591,78.75969599,80.46137717,80.8081685,79.32636049,80.14679091,80.97259923,79.48084835,81.81061102,80.77116118,79.8868844,79.57404676,83.37656311,81.97215606,78.42637413,81.94919381,80.15079349,79.26221743,80.59731625,78.68559913,80.05157109,80.0542339,78.68501314,79.46527762,79.06324674,81.027971,81.50123696,79.22557878,79.55537693,81.01843243,78.86767014,79.23780358,81.12904793,80.2908723,81.06830417,79.83638462,81.58194802,79.69168628,79.38778285,80.15089979,80.1084288,80.84362185,80.27262854,80.05168625,79.07994397,80.18655053,80.5519949,78.57717613,79.41412534,78.85578503,80.92660038,79.16832004,79.7755078,81.6692944,80.44320852,79.80561015,78.72713749,77.92515974,80.79659097,80.61916698,80.78238647,80.15317315,80.39432987,81.29583096,80.07742543,80.62848578,81.15957508,78.84431398,79.07498565,79.03995283,80.16507583,78.96343272,80.44775807,79.74151471,79.28403341,79.43431406,79.18335438,80.52483204,79.78405291,80.48700886,81.95448656,82.15498485,81.04922727,81.1378065,79.86798133,79.23613654,81.90491025,78.67718294,83.80004303,80.07852682,80.22746134,80.30905365,79.24550629,80.46140359,80.25178773,80.45067079,79.20443633,79.17092809,79.7596689,80.06351798,81.74328359,80.00699824,81.28108704,80.62041589,79.95249139,79.07206405,80.29479116,80.1765055,79.64743,79.32742163,79.59127769,79.42370147,80.7383607,80.63197285,78.96641935,82.0707562,79.71751534,80.64286088,79.99782529,79.13110489,82.30552949,78.83745914,80.09429032,80.85315004,78.20779042,78.46839032,80.57442472,79.54759154,79.53769336,78.9301798,81.73608119,80.30313722,80.56812915,78.93877372,79.34385006,79.00181295,80.13204825,80.7466784,80.15245391,79.54290927,78.63273157,80.24119739,78.34086675,79.33403454,78.89307671,79.4798984,81.15916564,79.46514219,79.67453909,79.41063428,79.42102174,78.83585775,78.84947681,81.34440031,80.21677304,80.006728,78.83427616,79.42705691,79.07416796,80.37941406,78.89457112,80.02342983,79.82772614,81.52277064,81.0841596,81.28980344,79.20063887,79.00751023,80.02270968,82.37994208,81.05881275,80.9394877,80.41272149,78.55386491,80.46636223,80.25971473,79.27965849,80.92318321,80.65629935,80.04060626,79.88286318,78.93254538,80.21624391,79.34121156,80.1200249,80.06671792,79.96422957,79.04235301,79.03305869,78.43081599,78.0360615,78.87393893,78.18606391,81.4371618,79.23665472,79.58111592,79.28002749,79.31375984,79.62413669,80.81755448,78.98076712,81.03633256,81.71006245,79.76027255,80.97245545,80.3106532,80.8017458,80.47232958,81.18183147,80.71353335,82.00015806,80.30032911,79.81034388,79.64743915,81.49958947,80.94035872
g5,80.68621425,80.14596985,79.52005806,79.17521427,79.49185953,80.94521231,80.35906073,79.55470215,80.8423829,79.34066421,80.4870683,81.1949006,79.89855828,79.3486503,80.52351462,80.62779154,80.20474649,77.73843954,79.5890532,79.96997906,80.80572345,80.88561109,76.54012464,79.38965593,79.21530711,81.00513233,80.21654555,79.95733011,80.58589906,79.39440335,78.91169475,81.4162224,80.09715281,80.63797617,79.50138403,79.58082646,78.9984747,80.1638133,80.81439445,80.30053385,79.99977982,79.36474412,78.76813627,80.33815262,80.69395386,81.21937343,80.17578122,76.50551958,80.26377223,80.50748026,80.51724354,80.39870922,80.12571463,79.70470635,78.78433964,80.05438045,79.66201632,79.72784092,79.00674081,80.11432621,80.56410136,80.07384092,78.87310936,79.58495284,80.59983135,80.73605776,80.34692067,76.5986514,81.86318624,80.82858859,80.19490305,80.15609211,80.09778218,80.01778193,79.34837105,79.40946905,78.17105375,79.27753165,79.21003117,78.19662157,79.75275356,81.60635854,78.59609799,80.15722785,79.97610403,79.23705965,80.42022752,80.02569974,79.12313689,79.39484964,79.56237366,80.49884888,80.91322453,80.68935261,80.06246388,81.04957886,80.5119048,78.53885442,78.98392516,80.36438637,80.21759672,81.27493963,81.16548232,80.87068567,79.69036489,79.74349263,80.53238994,80.28425401,79.99354609,78.32362587,79.74655343,79.19573929,79.83400723,80.58239574,78.65491715,80.51609072,79.84021699,79.30564759,80.72648214,73.99274089,79.69606266,80.07861875,80.28563709,79.81100328,80.0251359,80.7839832,80.91925181,79.89946435,79.61081369,79.25197078,81.68396205,81.6280731,80.23398083,80.53060006,81.05441419,80.84045576,81.68903223,79.10611625,78.62865163,81.65043898,78.71980567,79.32168027,81.89214058,79.9105666,82.01521478,79.89768551,80.62201077,79.84067682,79.99110236,78.03518653,79.00302368,80.48201385,81.10919116,80.48748826,80.48701169,80.16866839,79.91498009,80.81822133,79.27547865,80.33866343,79.87723499,80.76713352,79.87666018,79.00235687,79.15308152,80.55547011,80.13318413,80.29505054,80.6663708,80.27112454,79.23703205,78.52447829,80.22979816,81.47251699,79.87964717,81.24282609,79.158416,80.60719488,80.33019299,78.71315917,79.14170739,81.24925439,78.98286757,80.73359958,80.8447385,80.90838326,81.9071314,79.13645617,79.91086288,80.22630251,79.18483697,79.8160598,79.99602252,77.42457065,81.24019358,80.22823239,80.47575603,80.14477424,80.19504199,80.56684723,80.64910791,80.92091241,80.12748651,79.71494898,81.18309462,81.73583968,79.31888652,79.88472008,80.60041636,80.71177373,79.87871555,81.43264771,80.38922298,80.33907374,79.70905533,79.43349222,80.24955455,79.75582501,80.22632744,80.41736611,79.78230366,80.76244226,79.32714922,80.54410003,79.24336493,78.78603863,80.4549218,81.348413,81.11602943,80.19169919,80.46739994,80.20231325,79.49771697,77.68629037,80.78360699,80.78585578,80.0020939,80.11154187,79.92685401,80.13307954,81.05116987,79.89977049,79.36061532,80.12947379,80.14149402,80.30353707,79.86636366,79.55888877,79.37005634,78.76476963,79.69696605,77.86647424,79.81457799,78.27765817,80.02620916,80.41305396,80.84382128,79.86488828,80.87264582,80.43530446,80.93033902,77.02990561,79.65885344,80.15718281,80.41069013,80.43469421,81.58547907,79.87759381,81.29731444,79.50537351,82.40135767,78.17731793
